L:6.000    W:2.000    H:0.050    l:0.050    tilt:0.44     thick_g:0.003    thick_p:0.001    thick_b:0.001    k_g:1.050    k_p:220.000  k_b:220.000   
c_g:660.0    c_p:890.0    c_b:890.0    rho_g:2500.0   rho_p:2700.0   rho_b:2700.0   thick_i:0.100    k_i0.040    
alpha_g:0.06     alpha_p:0.95     alpha_b:0.95     tau_g:0.84     e_g:0.90     e_p_up:0.95     e_p_down:0.95     e_b:0.95    
dx:0.10     dt:30.0    
01_07_2021  4        4.000    194.0   8.3     12.7    1.8     97860   0.0086  12.223   0.20000000 
01_07_2021  4        4.000    195.0   8.3     12.7    1.8     97860   0.0086  12.226   0.20000000 
01_07_2021  4        4.000    196.0   8.3     12.7    1.8     97860   0.0086  12.228   0.20000000 
01_07_2021  4        4.000    197.0   8.3     12.7    1.8     97860   0.0086  12.230   0.20000000 
01_07_2021  4        4.000    198.0   8.3     12.7    1.8     97860   0.0086  12.232   0.20000000 
01_07_2021  4        4.000    199.0   8.3     12.7    1.8     97860   0.0086  12.233   0.20000000 
01_07_2021  4        4.000    200.0   8.3     12.7    1.8     97860   0.0086  12.234   0.20000000 
01_07_2021  4        4.000    201.0   8.3     12.7    1.8     97860   0.0086  12.235   0.20000000 
01_07_2021  4        4.000    202.0   8.3     12.7    1.8     97860   0.0086  12.236   0.20000000 
01_07_2021  4        4.000    203.0   8.3     12.7    1.8     97860   0.0086  12.237   0.20000000 
01_07_2021  4        4.000    204.0   8.3     12.7    1.8     97860   0.0086  12.237   0.20000000 
01_07_2021  4        4.000    205.0   8.3     12.7    1.8     97860   0.0086  12.238   0.20000000 
01_07_2021  4        4.000    206.0   8.3     12.7    1.8     97860   0.0086  12.238   0.20000000 
01_07_2021  4        4.000    207.0   8.3     12.7    1.8     97860   0.0086  12.239   0.20000000 
01_07_2021  4        4.000    208.0   8.3     12.7    1.8     97860   0.0086  12.239   0.20000000 
01_07_2021  4        4.000    209.0   8.3     12.7    1.8     97860   0.0086  12.239   0.20000000 
01_07_2021  4        4.000    210.0   8.3     12.7    1.8     97860   0.0086  12.239   0.20000000 
01_07_2021  4        4.000    211.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    212.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    213.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    214.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    215.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    216.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    217.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    218.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    219.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    220.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
01_07_2021  4        4.000    221.0   8.3     12.7    1.8     97860   0.0086  12.240   0.20000000 
